Folder Temperature Condition Column Mean "Std Dev"
L5-L5 310K/Energy "dist > 12" pni-wat-final 30930.94456535434 995.140978209617
L5-L5 315K/Energy "dist < 12" pni -86.25291310861427 7.72952493370987
L5-L5 315K/Energy "dist < 12" lig -35.80911460674159 8.642689400016744
L5-L5 315K/Energy "dist < 12" wat -209883.79247415738 206.0874728469794
L5-L5 315K/Energy "dist < 12" both-final -97.3066101123595 16.74290429465824
L5-L5 315K/Energy "dist < 12" lig-wat-final 25443.476004119846 2345.3402657200354
L5-L5 315K/Energy "dist < 12" pni-wat-final 30844.1370602996 1023.5910357332519
L5-L5 315K/Energy "dist > 12" pni -83.01799666666668 7.681117931362969
L5-L5 315K/Energy "dist > 12" lig -15.610716666666669 8.730960226572362
L5-L5 315K/Energy "dist > 12" wat -209839.14975333333 202.81441455530404
L5-L5 315K/Energy "dist > 12" both-final -60.660526666666655 23.98718771874762
L5-L5 315K/Energy "dist > 12" lig-wat-final 25474.40683666667 2106.2281905743607
L5-L5 315K/Energy "dist > 12" pni-wat-final 30832.93761 1078.8615260139911
L5-L5 320K/Energy "dist < 12" pni -87.75725607843138 7.628069991990698
L5-L5 320K/Energy "dist < 12" lig -32.46111686274512 9.047322921464984
L5-L5 320K/Energy "dist < 12" wat -208817.11739921567 195.6212344807369
L5-L5 320K/Energy "dist < 12" both-final -106.45670196078434 20.524964590736328
L5-L5 320K/Energy "dist < 12" lig-wat-final 25658.805943529413 2415.238458403397
L5-L5 320K/Energy "dist < 12" pni-wat-final 30876.849885098047 992.7993473661608
L5-L5 320K/Energy "dist > 12" pni -81.6491023809524 6.9254465136134735
L5-L5 320K/Energy "dist > 12" lig -14.58017380952381 8.630419139047582
L5-L5 320K/Energy "dist > 12" wat -208734.9411071429 253.00646854733588
L5-L5 320K/Energy "dist > 12" both-final -62.85746666666665 25.658956408437216
L5-L5 320K/Energy "dist > 12" lig-wat-final 25001.46318809524 2603.1213049950256
L5-L5 320K/Energy "dist > 12" pni-wat-final 30720.45634523809 1068.22038021243
L5-L5 325K/Energy "dist < 12" pni -86.79356926229507 6.855712760458046
